TMDb ID,IMDb ID,Title,Year,Public Avg Rating
19913,tt1022603,(500) Days of Summer,2009,7.294
333371,tt1179933,10 Cloverfield Lane,2016,6.992
389,tt0050083,12 Angry Men,1957,8.548
530915,tt8579674,1917,2019,7.988
62,tt0062622,2001: A Space Odyssey,1968,8.065
26580,tt0118540,4 Little Girls,1997,7.244
422,tt0056801,8½,1963,8.131
185,tt0066921,A Clockwork Orange,1971,8.186
428449,tt6265828,A Ghost Story,2017,7.1
157849,tt1972571,A Most Wanted Man,2014,6.471
447332,tt6644200,A Quiet Place,2018,7.398
520763,tt8332922,A Quiet Place Part II,2020,7.5
1013850,tt21823606,A Real Pain,2024,6.765
12573,tt1019452,A Serious Man,2009,6.7
775,tt0000417,A Trip to the Moon,1902,7.9
2757,tt0268126,Adaptation.,2002,7.354
965150,tt19770238,Aftersun,2022,7.676
813,tt0080339,Airplane!,1980,7.3
149,tt0094625,Akira,1988,7.9
216,tt0071141,Ali: Fear Eats the Soul,1974,7.764
348,tt0078748,Alien,1979,8.163
49046,tt1016150,All Quiet on the Western Front,2022,7.726
786,tt0181875,Almost Famous,2000,7.504
194,tt0211915,Amélie,2001,7.912
14,tt0169547,American Beauty,1999,8.007
73,tt0120586,American History X,1998,8.336
1359,tt0144084,American Psycho,2000,7.4
915935,tt17009710,Anatomy of a Fall,2023,7.541
703,tt0075686,Annie Hall,1977,7.7
300668,tt2798920,Annihilation,2018,6.427
291270,tt2401878,Anomalisa,2015,7.1
580175,tt10288566,Another Round,2020,7.6
28,tt0078788,Apocalypse Now,1979,8.271
329865,tt2543164,Arrival,2016,7.615
747188,tt14230388,Asteroid City,2023,6.454
4347,tt0783233,Atonement,2007,7.6
12761,tt0077711,Autumn Sonata,1978,8.0
339403,tt3890160,Baby Driver,2017,7.447
530723,tt8206668,Bad Education,2019,6.7
913290,tt15791034,Barbarian,2022,6.83
346698,tt1517268,Barbie,2023,6.971
798286,tt13521006,Beau Is Afraid,2023,6.737
4011,tt0094721,Beetlejuice,1988,7.372
76,tt0112471,Before Sunrise,1995,8.0
7972,tt0292963,Before the Devil Knows You're Dead,2007,7.108
492,tt0120601,Being John Malkovich,1999,7.413
665,tt0052618,Ben-Hur,1959,7.889
5156,tt0040522,Bicycle Thieves,1948,8.173
87093,tt1126590,Big Eyes,2014,7.0
797309,tt14058484,Biggie: I Got a Story to Tell,2021,7.2
194662,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,7.454
44214,tt0947798,Black Swan,2010,7.7
487558,tt7349662,BlacKkKlansman,2018,7.495
78,tt0083658,Blade Runner,1982,7.94
335984,tt1856101,Blade Runner 2049,2017,7.581
46705,tt1120985,Blue Valentine,2010,6.942
793,tt0090756,Blue Velvet,1986,7.6
4995,tt0118749,Boogie Nights,1997,7.629
740985,tt13143964,Borat Subsequent Moviefilm,2020,6.443
496,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,6.777
13685,tt0115734,Bottle Rocket,1996,6.7
650,tt0101507,Boyz n the Hood,1991,7.6
142,tt0388795,Brokeback Mountain,2005,7.8
4944,tt0887883,Burn After Reading,2008,6.654
398818,tt5726616,Call Me by Your Name,2017,8.116
398,tt0379725,Capote,2005,6.97
334533,tt3553976,Captain Fantastic,2016,7.9
7340,tt0074285,Carrie,1976,7.3
289,tt0034583,Casablanca,1942,8.155
12225,tt0460740,Cashback,2006,6.9
524,tt0112641,Casino,1995,7.995
937287,tt16426418,Challengers,2024,7.0
829,tt0071315,Chinatown,1974,7.9
11104,tt0109424,Chungking Express,1994,7.966
11216,tt0095765,Cinema Paradiso,1988,8.436
15,tt0033467,Citizen Kane,1941,7.996
598,tt0317248,City of God,2002,8.429
632617,tt10986222,C'mon C'mon,2021,7.215
25237,tt0091251,Come and See,1985,8.2
974576,tt20215234,Conclave,2024,7.187
4912,tt0270288,Confessions of a Dangerous Mind,2002,6.691
10238,tt0069467,Cries and Whispers,1972,7.9
36095,tt0123948,Cure,1997,7.5
152532,tt0790636,Dallas Buyers Club,2013,7.9
8583,tt0118892,Dangerous Beauty,1998,7.102
9571,tt0106677,Dazed and Confused,1993,7.314
207,tt0097165,Dead Poets Society,1989,8.301
15584,tt1152758,Dear Zachary: A Letter to a Son About His Father,2008,8.057
1991,tt1028528,Death Proof,2007,6.836
